time,open,high,low,close,volume
2026-08-13T17:54:00+09:00,159.398,159.4,159.395,159.397,102
2026-08-13T17:55:00+09:00,159.398,159.404,159.396,159.401,91
2026-08-13T17:56:00+09:00,159.4,159.413,159.397,159.4,87
2026-08-13T17:57:00+09:00,159.402,159.41,159.399,159.402,65
2026-08-13T17:58:00+09:00,159.404,159.41,159.394,159.41,53
2026-08-13T17:59:00+09:00,159.41,159.41,159.405,159.406,46
2026-08-13T18:00:00+09:00,159.406,159.421,159.398,159.4,110
2026-08-13T18:01:00+09:00,159.402,159.417,159.401,159.413,69
2026-08-13T18:02:00+09:00,159.412,159.424,159.412,159.422,146
2026-08-13T18:03:00+09:00,159.422,159.424,159.414,159.415,100
2026-08-13T18:04:00+09:00,159.414,159.438,159.414,159.427,131
2026-08-13T18:05:00+09:00,159.426,159.428,159.415,159.42,109
2026-08-13T18:06:00+09:00,159.42,159.424,159.416,159.418,52
2026-08-13T18:07:00+09:00,159.418,159.424,159.418,159.42,106
2026-08-13T18:08:00+09:00,159.42,159.42,159.41,159.412,96
2026-08-13T18:09:00+09:00,159.41,159.412,159.399,159.41,103
2026-08-13T18:10:00+09:00,159.41,159.412,159.4,159.4,137
2026-08-13T18:11:00+09:00,159.401,159.41,159.4,159.404,83
2026-08-13T18:12:00+09:00,159.404,159.406,159.396,159.398,95
2026-08-13T18:13:00+09:00,159.398,159.398,159.391,159.392,82
2026-08-13T18:14:00+09:00,159.392,159.393,159.388,159.39,86
2026-08-13T18:15:00+09:00,159.39,159.391,159.38,159.38,89
2026-08-13T18:16:00+09:00,159.38,159.394,159.38,159.385,125
2026-08-13T18:17:00+09:00,159.386,159.386,159.377,159.381,85
2026-08-13T18:18:00+09:00,159.38,159.385,159.374,159.377,97
2026-08-13T18:19:00+09:00,159.378,159.378,159.364,159.372,105
2026-08-13T18:20:00+09:00,159.372,159.382,159.368,159.376,120
2026-08-13T18:21:00+09:00,159.376,159.379,159.375,159.379,42
2026-08-13T18:22:00+09:00,159.38,159.387,159.377,159.384,112
2026-08-13T18:23:00+09:00,159.384,159.386,159.376,159.38,127
2026-08-13T18:24:00+09:00,159.382,159.384,159.375,159.381,86
2026-08-13T18:25:00+09:00,159.382,159.383,159.37,159.379,128
2026-08-13T18:26:00+09:00,159.38,159.386,159.377,159.383,80
2026-08-13T18:27:00+09:00,159.383,159.384,159.375,159.382,119
2026-08-13T18:28:00+09:00,159.383,159.388,159.383,159.384,74
2026-08-13T18:29:00+09:00,159.384,159.388,159.38,159.388,122
2026-08-13T18:30:00+09:00,159.388,159.398,159.388,159.394,172
2026-08-13T18:31:00+09:00,159.395,159.398,159.39,159.395,127
2026-08-13T18:32:00+09:00,159.394,159.395,159.385,159.386,155
2026-08-13T18:33:00+09:00,159.385,159.387,159.374,159.376,83
2026-08-13T18:34:00+09:00,159.375,159.38,159.37,159.377,127
2026-08-13T18:35:00+09:00,159.376,159.377,159.359,159.366,190
